epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,49,,,1.9031596183776855,,
0,99,,,1.5222491025924683,,
0,107,,,,0.49300000071525574,1.3934746980667114
1,149,,,1.1975919008255005,,
1,199,,,1.0062921047210693,,
1,215,,,,0.6883999705314636,0.9279475808143616
2,249,,,0.9026001691818237,,
2,299,,,0.8019456267356873,,
2,323,,,,0.7429999709129333,0.802287220954895
3,349,,,0.749896228313446,,
3,399,,,0.7476364970207214,,
3,431,,,,0.7670000195503235,0.7305965423583984
4,449,,,0.6700209379196167,,
4,499,,,0.7359104752540588,,
4,539,,,,0.7814000248908997,0.7118169665336609
5,549,,,0.6669784188270569,,
5,599,,,0.6513669490814209,,
5,647,,,,0.7910000085830688,0.684927761554718
6,649,,,0.6866378784179688,,
6,699,,,0.7182467579841614,,
6,749,,,0.6504267454147339,,
6,755,,,,0.8014000058174133,0.6519935131072998
7,799,,,0.6285974979400635,,
7,849,,,0.691948413848877,,
7,863,,,,0.8022000193595886,0.641567587852478
8,899,,,0.6930263042449951,,
8,949,,,0.6307652592658997,,
8,971,,,,0.8144000172615051,0.6346465945243835
9,999,,,0.6956934928894043,,
9,1049,,,0.6755114793777466,,
9,1079,,,,0.8116000294685364,0.6242940425872803
10,1080,0.8194000124931335,0.6168215870857239,,,
