epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,49,,,1.8518937826156616,,
0,99,,,1.4066373109817505,,
0,107,,,,0.5766000151634216,1.2607483863830566
1,149,,,1.025762677192688,,
1,199,,,0.9351623058319092,,
1,215,,,,0.7437999844551086,0.9070224761962891
2,249,,,0.8816766738891602,,
2,299,,,0.8594774007797241,,
2,323,,,,0.7954000234603882,0.8059613108634949
3,349,,,0.8543775677680969,,
3,399,,,0.7493011951446533,,
3,431,,,,0.8112000226974487,0.7622374296188354
4,449,,,0.679973840713501,,
4,499,,,0.764297604560852,,
4,539,,,,0.8342000246047974,0.7128931879997253
5,549,,,0.6769324541091919,,
5,599,,,0.663521945476532,,
5,647,,,,0.8468000292778015,0.6779747009277344
6,649,,,0.6840475797653198,,
6,699,,,0.6831676363945007,,
6,749,,,0.6789120435714722,,
6,755,,,,0.8565999865531921,0.6562210321426392
7,799,,,0.6348336935043335,,
7,849,,,0.6087595224380493,,
7,863,,,,0.8587999939918518,0.6514383554458618
8,899,,,0.6183507442474365,,
8,949,,,0.547105073928833,,
8,971,,,,0.86080002784729,0.6274175047874451
9,999,,,0.6038603186607361,,
9,1049,,,0.5984182953834534,,
9,1079,,,,0.8669999837875366,0.6177669167518616
10,1080,0.8684999942779541,0.5907955765724182,,,
