epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,49,,,1.7369612455368042,,
0,99,,,1.119326114654541,,
0,107,,,,0.5722000002861023,1.1677486896514893
1,149,,,0.9505582451820374,,
1,199,,,0.9194785952568054,,
1,215,,,,0.7125999927520752,0.8728942275047302
2,249,,,0.8934187293052673,,
2,299,,,0.7023287415504456,,
2,323,,,,0.7797999978065491,0.7191421389579773
3,349,,,0.6984623074531555,,
3,399,,,0.5893133878707886,,
3,431,,,,0.8141999840736389,0.6393804550170898
4,449,,,0.6260808110237122,,
4,499,,,0.6332702040672302,,
4,539,,,,0.8324000239372253,0.6047956347465515
5,549,,,0.5875827670097351,,
5,599,,,0.5422635078430176,,
5,647,,,,0.8338000178337097,0.56915283203125
6,649,,,0.6033628582954407,,
6,699,,,0.5802912712097168,,
6,749,,,0.5599337816238403,,
6,755,,,,0.8446000218391418,0.5355547070503235
7,799,,,0.5128849148750305,,
7,849,,,0.4725246727466583,,
7,863,,,,0.8593999743461609,0.500878095626831
8,899,,,0.5779543519020081,,
8,949,,,0.49281567335128784,,
8,971,,,,0.8539999723434448,0.5100586414337158
9,999,,,0.5777443647384644,,
9,1049,,,0.5278043150901794,,
9,1079,,,,0.8615999817848206,0.4950628876686096
10,1080,0.8725000023841858,0.46632444858551025,,,
