epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,49,,,2.878779888153076,,
0,99,,,2.259300708770752,,
0,107,,,,0.5479999780654907,2.2891087532043457
1,149,,,2.063354730606079,,
1,199,,,1.9987266063690186,,
1,215,,,,0.6891999840736389,1.9599579572677612
2,249,,,1.9869341850280762,,
2,299,,,1.816830039024353,,
2,323,,,,0.7519999742507935,1.809251308441162
3,349,,,1.8039233684539795,,
3,399,,,1.7050034999847412,,
3,431,,,,0.7901999950408936,1.7120997905731201
4,449,,,1.7053923606872559,,
4,499,,,1.7017418146133423,,
4,539,,,,0.8080000281333923,1.670656442642212
5,549,,,1.6621828079223633,,
5,599,,,1.6213387250900269,,
5,647,,,,0.8123999834060669,1.6512035131454468
6,649,,,1.6660435199737549,,
6,699,,,1.6267149448394775,,
6,749,,,1.622723937034607,,
6,755,,,,0.8220000267028809,1.611010193824768
7,799,,,1.591156005859375,,
7,849,,,1.5624449253082275,,
7,863,,,,0.8335999846458435,1.5790363550186157
8,899,,,1.6910388469696045,,
8,949,,,1.566166877746582,,
8,971,,,,0.8396000266075134,1.5610235929489136
9,999,,,1.6357213258743286,,
9,1049,,,1.5319936275482178,,
9,1079,,,,0.8411999940872192,1.548438549041748
10,1080,0.8540999889373779,1.5185035467147827,,,
