epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,49,,,1.2310791015625,,
0,99,,,0.7903845310211182,,
0,107,,,,0.7694000005722046,0.7461881041526794
1,149,,,0.7723002433776855,,
1,199,,,0.6021621227264404,,
1,215,,,,0.8389999866485596,0.5616356134414673
2,249,,,0.4719879925251007,,
2,299,,,0.5031444430351257,,
2,323,,,,0.8525999784469604,0.4942897856235504
3,349,,,0.41624343395233154,,
3,399,,,0.3944616913795471,,
3,431,,,,0.8682000041007996,0.4476644992828369
4,449,,,0.36102572083473206,,
4,499,,,0.4114092290401459,,
4,539,,,,0.8799999952316284,0.4080669581890106
5,549,,,0.3681725561618805,,
5,599,,,0.4615100622177124,,
5,647,,,,0.8902000188827515,0.39038580656051636
6,649,,,0.3771085739135742,,
6,699,,,0.3312944173812866,,
6,749,,,0.3360694646835327,,
6,755,,,,0.8873999714851379,0.3726477026939392
7,799,,,0.3399493098258972,,
7,849,,,0.2810294032096863,,
7,863,,,,0.8920000195503235,0.35877472162246704
8,899,,,0.30463653802871704,,
8,949,,,0.3642508387565613,,
8,971,,,,0.8917999863624573,0.3575184643268585
9,999,,,0.32093381881713867,,
9,1049,,,0.3708384037017822,,
9,1079,,,,0.8924000263214111,0.34487849473953247
10,1080,0.9049000144004822,0.32956790924072266,,,
