epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,49,,,1.7243762016296387,,
0,99,,,1.2623451948165894,,
0,107,,,,0.5874000191688538,1.1221396923065186
1,149,,,0.8932560086250305,,
1,199,,,0.816631555557251,,
1,215,,,,0.7440000176429749,0.7832540273666382
2,249,,,0.7441660165786743,,
2,299,,,0.727412223815918,,
2,323,,,,0.8022000193595886,0.6729820966720581
3,349,,,0.7194694876670837,,
3,399,,,0.6082749366760254,,
3,431,,,,0.8140000104904175,0.636894166469574
4,449,,,0.5394856333732605,,
4,499,,,0.6451614499092102,,
4,539,,,,0.8393999934196472,0.5887703895568848
5,549,,,0.5436940789222717,,
5,599,,,0.5294350981712341,,
5,647,,,,0.850600004196167,0.545221745967865
6,649,,,0.55907142162323,,
6,699,,,0.5736925601959229,,
6,749,,,0.5330319404602051,,
6,755,,,,0.8489999771118164,0.5297022461891174
7,799,,,0.5106363296508789,,
7,849,,,0.4719684422016144,,
7,863,,,,0.8532000184059143,0.5377023816108704
8,899,,,0.4967679977416992,,
8,949,,,0.4403936266899109,,
8,971,,,,0.8587999939918518,0.5047006607055664
9,999,,,0.45311203598976135,,
9,1049,,,0.4841335415840149,,
9,1079,,,,0.8650000095367432,0.5005673170089722
10,1080,0.8719000220298767,0.46477431058883667,,,
